class,sample_count,class_accuracy,mean_confidence
bacterial_leaf_streak,57,0.9122807017543859,0.91468656
dead_heart,217,0.8755760368663594,0.85899365
normal,265,0.8679245283018868,0.85973316
bacterial_panicle_blight,50,0.86,0.8415281
bacterial_leaf_blight,72,0.8194444444444444,0.8378657
downy_mildew,93,0.8064516129032258,0.7107614
tungro,163,0.7607361963190185,0.7989307
blast,261,0.7241379310344828,0.76909596
hispa,239,0.6861924686192469,0.70016545
brown_spot,145,0.6551724137931034,0.720685
